Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Turkey,2012,Malaria,Neurological,18.2,14.1,8.58,61+,Male,705556,81.06,0.84,1.42,Surgery,35828,Yes,77.59,2119,4.81,59353,0.66,55.37
USA,2012,Influenza,Autoimmune,3.29,0.71,8.81,0-18,Male,463091,73.22,3.66,2.55,Therapy,25216,No,89.09,2584,0.9,45317,0.8,53.2
Japan,2007,Rabies,Cardiovascular,11.52,12.85,7.63,19-35,Female,303652,76.21,0.53,3.01,Therapy,29646,Yes,63.27,2326,9.08,22144,0.81,20.7
Italy,2000,Parkinson's Disease,Respiratory,2.57,8.88,8.52,36-60,Male,806492,50.15,2.43,5.39,Vaccination,36578,No,56.26,699,8.83,63195,0.72,88.48
Japan,2022,Malaria,Neurological,19.01,5.99,9.68,36-60,Female,274764,89.75,2.34,2.73,Therapy,7751,Yes,60.03,1925,6.7,26787,0.52,83.67
South Africa,2011,Influenza,Cardiovascular,10.55,4.35,2.52,19-35,Male,42370,57.61,3.35,5.23,Vaccination,1798,Yes,60.42,2777,9.1,48667,0.6,29.14
Italy,2000,Hepatitis,Genetic,18.27,4.62,9.41,19-35,Female,823550,65.83,2.54,7.19,Medication,32127,Yes,96.53,4094,0.56,55343,0.78,66.09
Brazil,2010,Zika,Chronic,1.59,2.17,6.37,36-60,Other,703533,52.35,1.58,7.28,Surgery,47412,No,80.33,2855,4.68,46892,0.48,89.95
India,2018,Diabetes,Bacterial,4.13,7.61,4.05,19-35,Male,777659,81.07,2.57,1.02,Surgery,22613,No,63.61,3668,4.54,56351,0.9,44.78
Turkey,2016,Diabetes,Bacterial,18.61,0.48,4.82,61+,Male,669142,89.13,4.36,9.35,Vaccination,7703,No,87.07,751,3.94,29141,0.64,58.92
Mexico,2002,Polio,Chronic,19.08,14.15,7.83,0-18,Male,267543,92.56,4.03,8.41,Surgery,24349,No,66.26,1027,9.21,29338,0.58,62.88
China,2015,Rabies,Parasitic,10.74,13.86,5.17,19-35,Other,546653,99.18,1.26,5.52,Medication,40340,Yes,70.38,2188,4.6,61528,0.66,72.43
France,2010,Measles,Parasitic,7.4,11.16,4.31,0-18,Female,287910,54.94,1.19,8.19,Therapy,17045,Yes,87.04,555,0.07,93257,0.84,55.11
Russia,2003,Alzheimer's Disease,Metabolic,17.79,5.24,7.61,19-35,Female,92981,80.99,2.15,4.92,Vaccination,30935,Yes,73.25,792,8.18,77267,0.66,83.2
Saudi Arabia,2017,Hepatitis,Respiratory,9.68,14.96,7.88,19-35,Female,379489,70.63,1.0,8.42,Medication,42300,No,76.13,360,8.31,63004,0.62,45.5
China,2021,Parkinson's Disease,Neurological,2.99,1.02,3.51,36-60,Other,50036,72.25,3.0,8.43,Vaccination,42506,Yes,60.66,648,3.33,89508,0.76,56.22
USA,2013,Diabetes,Bacterial,9.71,13.31,5.07,0-18,Female,748596,60.78,1.94,3.68,Vaccination,25773,Yes,63.85,3116,1.93,32813,0.57,20.51
Italy,2015,Hepatitis,Neurological,0.79,13.82,1.49,19-35,Other,431700,64.35,3.99,4.94,Medication,17708,Yes,83.55,4232,5.72,17713,0.44,69.27
Germany,2000,Ebola,Genetic,0.39,4.78,8.08,36-60,Female,79525,64.61,4.97,1.78,Therapy,16792,No,83.75,3157,8.05,27672,0.64,20.94
Russia,2002,Polio,Cardiovascular,1.31,1.67,4.84,19-35,Male,75686,68.2,1.98,9.38,Medication,7134,No,72.88,1871,1.0,47003,0.41,30.43
France,2002,Cancer,Bacterial,4.72,14.55,9.72,61+,Other,482238,90.76,2.27,1.37,Medication,14737,No,81.15,4707,4.01,23437,0.41,76.18
India,2019,Ebola,Chronic,9.21,4.62,4.77,19-35,Female,541621,55.14,0.68,4.46,Vaccination,7958,No,54.67,3486,4.77,73228,0.61,83.62
Brazil,2023,Leprosy,Viral,2.61,9.87,9.12,36-60,Other,345652,66.39,1.76,9.75,Surgery,8967,No,58.87,980,7.99,92924,0.73,41.74
UK,2006,Ebola,Parasitic,14.38,11.89,5.38,0-18,Male,284629,57.36,1.27,2.37,Medication,46914,No,96.47,1145,7.02,79248,0.77,69.67
Japan,2019,Polio,Parasitic,7.0,11.39,6.29,61+,Female,318309,94.86,1.11,7.25,Medication,509,Yes,79.25,2062,0.06,5612,0.59,72.28
France,2012,Alzheimer's Disease,Autoimmune,11.92,9.19,0.25,0-18,Other,508778,51.27,4.17,6.04,Medication,22694,No,66.3,1823,5.47,33248,0.48,28.78
Turkey,2019,Rabies,Bacterial,8.71,14.79,6.12,0-18,Male,646784,91.18,0.81,6.11,Therapy,32780,Yes,77.92,638,0.28,34946,0.6,39.56
Russia,2012,Influenza,Autoimmune,4.22,12.5,4.75,0-18,Male,928247,50.49,4.77,5.41,Vaccination,17059,Yes,57.97,3066,9.69,24868,0.54,86.02
Mexico,2012,Parkinson's Disease,Autoimmune,9.55,0.62,7.03,61+,Male,233038,91.33,2.04,7.34,Therapy,18387,No,58.55,4803,3.1,38790,0.54,66.61
Canada,2014,Measles,Autoimmune,12.1,6.31,5.81,0-18,Male,315839,74.76,1.86,5.02,Medication,38190,Yes,64.96,3911,6.52,60063,0.62,24.63
Argentina,2024,Polio,Viral,16.9,3.1,4.82,61+,Other,658371,90.61,4.36,7.04,Therapy,38212,Yes,86.83,807,8.98,28101,0.49,80.8
Japan,2001,Hepatitis,Neurological,0.53,8.51,7.31,19-35,Female,796412,53.33,4.01,1.03,Medication,9192,No,60.7,3675,3.96,85492,0.78,35.13
Germany,2016,Hepatitis,Chronic,13.4,14.33,0.52,19-35,Male,830851,65.04,3.96,6.7,Medication,39272,No,51.77,2912,2.52,76064,0.87,82.02
Mexico,2016,Asthma,Parasitic,18.49,1.1,1.79,19-35,Other,823654,76.85,3.98,6.21,Surgery,33003,Yes,57.37,4137,8.04,81231,0.56,41.33
Canada,2013,Alzheimer's Disease,Bacterial,6.61,11.95,8.22,61+,Male,911200,62.36,0.62,2.71,Medication,10509,No,78.16,599,7.43,96782,0.77,61.52
Mexico,2017,Leprosy,Chronic,17.57,8.76,3.4,0-18,Male,770438,66.55,3.92,7.96,Vaccination,1342,No,54.1,157,9.84,88392,0.58,46.17
Brazil,2018,Zika,Viral,3.76,3.43,1.41,61+,Male,83164,87.42,3.98,7.04,Medication,17240,No,69.45,4113,7.94,46123,0.54,23.98
UK,2006,Dengue,Neurological,8.51,1.2,2.78,0-18,Male,457021,94.15,4.79,3.31,Therapy,10668,No,65.25,4908,9.27,70495,0.62,64.57
Australia,2018,Parkinson's Disease,Genetic,10.93,11.97,9.85,0-18,Male,636856,89.69,2.63,8.26,Surgery,44691,Yes,65.92,3597,9.32,80613,0.48,66.08
South Africa,2006,Ebola,Neurological,4.9,8.32,4.87,19-35,Female,643284,73.19,4.97,3.63,Medication,30999,No,86.89,3462,7.57,56500,0.44,43.1
Nigeria,2011,Alzheimer's Disease,Autoimmune,13.49,11.58,4.05,61+,Male,103983,90.26,1.87,8.27,Medication,4149,No,62.84,3113,2.69,33155,0.55,65.29
Japan,2014,HIV/AIDS,Viral,6.51,3.98,0.6,61+,Other,247377,72.15,1.26,4.45,Vaccination,16570,No,82.23,2531,1.86,55471,0.44,61.78
South Africa,2012,Hepatitis,Infectious,12.09,11.57,7.05,61+,Male,720260,84.19,2.59,9.59,Medication,27112,Yes,67.07,1248,7.59,37787,0.72,28.53
France,2004,Malaria,Respiratory,6.33,10.74,8.23,0-18,Male,277960,53.54,2.1,6.36,Medication,12538,Yes,69.58,4523,2.34,35300,0.69,40.15
South Korea,2010,HIV/AIDS,Bacterial,10.98,13.29,6.56,0-18,Female,804112,84.71,1.18,8.59,Surgery,27862,Yes,88.51,115,9.67,2863,0.7,50.37
Russia,2016,Tuberculosis,Respiratory,14.63,1.53,9.92,61+,Female,232134,92.16,1.63,6.34,Therapy,25721,No,51.98,1429,4.93,33590,0.47,66.42
South Africa,2020,Malaria,Infectious,11.46,2.94,8.31,36-60,Other,472233,71.85,1.31,4.51,Medication,33004,Yes,51.42,827,6.35,76596,0.81,49.94
UK,2000,Parkinson's Disease,Infectious,14.68,3.03,6.69,61+,Male,192848,64.03,4.52,7.36,Medication,49334,Yes,67.7,3050,5.66,69948,0.87,37.67
South Africa,2014,Alzheimer's Disease,Neurological,5.31,11.13,4.81,0-18,Other,711182,57.2,4.29,5.2,Surgery,44028,No,75.24,136,4.51,86017,0.54,81.79
France,2012,Cholera,Bacterial,11.27,12.28,5.04,36-60,Male,489176,57.88,3.93,8.24,Therapy,21972,No,63.65,4504,2.29,88705,0.81,69.77
Canada,2013,Zika,Autoimmune,5.61,13.12,4.2,61+,Female,4867,90.71,4.93,2.72,Medication,49428,Yes,54.15,2492,5.26,87047,0.54,59.35
Japan,2006,Cancer,Infectious,4.82,12.04,8.44,36-60,Other,768298,93.69,0.93,9.91,Surgery,37442,Yes,87.1,1620,8.44,98422,0.48,66.47
Indonesia,2017,Rabies,Genetic,7.87,7.53,4.16,61+,Other,699537,97.61,0.95,1.33,Therapy,9438,No,84.74,2402,5.41,19942,0.41,64.74
Turkey,2020,Tuberculosis,Parasitic,2.71,0.85,2.43,0-18,Male,750782,89.34,3.87,9.82,Surgery,31644,No,90.17,2857,7.51,49803,0.52,81.72
Japan,2016,Asthma,Genetic,19.59,14.17,9.62,36-60,Female,616031,60.45,4.47,6.05,Vaccination,43248,Yes,73.64,1137,0.39,24216,0.83,25.25
Brazil,2003,Hepatitis,Bacterial,16.55,12.57,2.11,0-18,Female,606785,61.56,0.97,8.07,Therapy,7652,Yes,61.77,4081,3.24,86837,0.47,45.54
Nigeria,2000,Hypertension,Chronic,17.41,10.53,2.62,19-35,Male,428734,96.2,2.99,4.55,Surgery,6222,No,74.74,3881,3.87,27318,0.82,52.47
Australia,2009,Ebola,Autoimmune,4.6,9.41,0.7,19-35,Male,14063,89.68,2.02,2.54,Surgery,35394,Yes,86.2,4432,9.25,39868,0.81,34.16
UK,2010,Malaria,Neurological,14.47,4.17,6.24,0-18,Other,358644,78.9,1.39,4.41,Medication,26602,Yes,62.29,3412,1.31,29046,0.88,30.67
Australia,2008,Influenza,Parasitic,5.08,3.55,8.09,19-35,Male,426708,95.13,2.71,1.84,Surgery,48184,Yes,60.53,2802,3.22,6164,0.66,30.69
China,2015,Tuberculosis,Metabolic,5.61,14.34,2.79,36-60,Other,741576,86.39,1.99,0.93,Surgery,49168,Yes,57.16,3366,0.81,40424,0.82,63.96
Saudi Arabia,2021,Alzheimer's Disease,Cardiovascular,6.93,9.62,0.73,61+,Male,726867,99.69,1.83,5.22,Surgery,47510,No,90.79,2476,4.62,53307,0.74,27.94
Germany,2008,Asthma,Bacterial,11.73,0.13,0.47,36-60,Other,687100,77.37,0.54,0.98,Therapy,25359,Yes,80.44,4177,7.64,93227,0.75,55.52
South Africa,2005,Cancer,Neurological,5.53,5.03,1.48,61+,Male,650869,92.76,0.9,6.91,Therapy,1819,No,64.17,1252,2.51,68104,0.78,30.7
France,2019,Ebola,Genetic,14.23,6.07,0.29,19-35,Male,112967,69.69,2.71,8.57,Surgery,47630,Yes,98.12,4215,1.05,91045,0.59,87.3
Canada,2010,Tuberculosis,Parasitic,1.41,14.54,2.54,36-60,Male,988223,83.74,2.4,5.13,Vaccination,25528,Yes,53.09,2201,0.32,1940,0.72,74.89
Nigeria,2012,Tuberculosis,Metabolic,9.09,11.75,6.48,36-60,Male,858625,80.15,3.5,8.55,Surgery,40925,Yes,82.8,1658,6.14,38157,0.41,58.26
Canada,2023,Measles,Parasitic,19.46,8.18,9.39,19-35,Female,616361,74.25,4.29,6.67,Therapy,21045,No,91.17,3392,1.13,10307,0.88,82.36
Germany,2024,Influenza,Infectious,11.42,4.75,4.45,0-18,Other,85033,85.78,4.41,1.64,Vaccination,40021,Yes,63.38,519,4.36,58848,0.61,44.31
USA,2011,Cancer,Metabolic,12.27,3.94,1.83,19-35,Male,195987,76.01,4.21,2.84,Vaccination,31404,No,98.17,3515,1.75,49190,0.41,81.26
Japan,2016,Polio,Chronic,3.46,3.2,6.01,19-35,Female,351142,89.27,2.86,8.89,Surgery,49438,Yes,72.29,840,3.84,75417,0.9,52.71
South Africa,2011,Tuberculosis,Chronic,2.0,5.43,7.6,0-18,Male,219570,77.8,3.79,8.06,Surgery,38361,Yes,51.86,2533,7.88,62102,0.71,82.06
Australia,2001,Asthma,Neurological,6.98,5.9,1.64,36-60,Female,882436,59.33,3.16,8.06,Vaccination,38979,Yes,54.75,4902,4.95,36571,0.6,85.31
Mexico,2004,Leprosy,Metabolic,15.3,4.86,8.02,61+,Male,372930,72.65,4.25,8.1,Vaccination,32914,Yes,63.77,3671,2.04,78209,0.89,22.28
South Africa,2015,Hypertension,Autoimmune,7.53,9.2,8.47,19-35,Male,635374,54.86,1.38,5.6,Therapy,40627,Yes,75.68,4716,8.63,1046,0.58,39.87
Turkey,2006,Measles,Parasitic,18.81,8.59,3.46,0-18,Female,335627,76.76,1.89,8.33,Vaccination,8142,Yes,62.46,4174,1.12,52378,0.52,38.31
Russia,2017,Diabetes,Genetic,16.35,13.18,9.68,61+,Other,801060,70.8,0.85,0.95,Medication,35813,Yes,62.26,2719,8.83,84832,0.83,54.31
UK,2022,Measles,Autoimmune,0.82,10.31,1.72,0-18,Other,936419,96.95,0.5,2.84,Therapy,43824,Yes,85.66,2846,3.41,73357,0.88,49.25
Indonesia,2013,Cancer,Infectious,14.16,12.21,4.29,61+,Other,425673,71.49,0.97,8.84,Medication,9370,Yes,54.07,1979,8.02,12492,0.84,72.43
Argentina,2001,Hypertension,Metabolic,11.45,7.26,2.82,0-18,Male,349662,93.07,2.36,6.96,Therapy,32875,No,86.52,3643,8.23,96849,0.47,56.95
Brazil,2014,Polio,Cardiovascular,14.43,8.61,8.46,19-35,Male,288771,96.69,3.57,4.46,Vaccination,17526,Yes,56.99,2197,1.32,28273,0.69,70.97
Turkey,2023,Rabies,Parasitic,19.21,4.12,0.71,36-60,Female,327942,55.68,3.07,3.78,Vaccination,25003,No,72.79,3444,3.26,76104,0.42,24.14
Canada,2000,HIV/AIDS,Parasitic,13.31,4.39,7.84,36-60,Other,496021,83.2,1.49,9.55,Medication,18563,No,54.24,1897,7.57,61680,0.89,64.41
Germany,2017,Asthma,Parasitic,16.77,8.65,6.87,19-35,Male,875066,78.55,1.39,4.54,Medication,49994,Yes,79.13,4603,1.99,50698,0.52,70.82
Mexico,2001,Zika,Chronic,2.61,0.92,0.61,36-60,Other,723150,82.59,3.88,8.05,Therapy,14509,No,91.92,3069,6.36,12345,0.57,52.71
France,2007,Cholera,Bacterial,1.96,12.87,7.42,19-35,Male,57232,76.34,1.11,3.54,Surgery,30378,No,65.62,1451,9.66,43450,0.88,50.93
Indonesia,2004,Ebola,Parasitic,13.63,2.51,2.02,19-35,Other,607207,52.06,3.4,2.92,Medication,5239,No,52.14,4654,1.81,50520,0.76,50.58
Canada,2009,Cholera,Cardiovascular,4.25,13.62,9.17,19-35,Other,630785,68.5,1.08,8.95,Medication,3377,Yes,86.93,1958,7.18,71421,0.78,25.62
Nigeria,2000,Influenza,Bacterial,7.86,1.06,6.84,19-35,Other,505628,50.62,4.56,8.21,Vaccination,42079,No,69.47,2964,8.43,18568,0.85,27.43
Brazil,2017,Hepatitis,Parasitic,10.77,6.89,5.74,36-60,Other,723442,51.89,4.91,5.15,Surgery,42402,No,82.57,4596,2.15,71185,0.82,42.79
Turkey,2017,Rabies,Cardiovascular,15.35,12.34,3.3,61+,Other,845656,88.82,2.93,1.51,Therapy,46784,Yes,50.63,1908,2.2,36260,0.48,83.87
USA,2003,Polio,Metabolic,3.26,5.28,6.79,19-35,Female,633657,72.42,3.59,5.77,Vaccination,19816,Yes,83.35,1623,9.72,13469,0.78,87.36
Turkey,2009,Dengue,Neurological,19.92,6.54,6.18,36-60,Male,46725,81.66,0.61,3.97,Medication,44887,No,92.79,528,0.68,46071,0.82,61.43
Argentina,2009,Cancer,Chronic,3.87,1.65,8.73,19-35,Female,476983,89.59,1.12,4.2,Vaccination,46517,No,72.24,3401,6.32,29574,0.43,29.92
Nigeria,2000,Zika,Neurological,5.69,4.98,7.68,36-60,Other,989240,69.26,4.98,4.56,Surgery,36896,No,66.26,59,1.74,95587,0.67,81.32
China,2008,Cholera,Metabolic,4.07,7.28,4.01,36-60,Other,743962,71.74,4.6,9.14,Therapy,25602,Yes,97.41,1840,8.45,47206,0.48,42.03
Argentina,2015,Asthma,Bacterial,2.09,11.99,0.92,0-18,Male,331800,90.66,0.68,1.72,Vaccination,34974,No,58.02,275,5.01,88171,0.61,75.83
Italy,2011,Tuberculosis,Chronic,9.1,1.86,6.77,36-60,Other,498296,70.99,1.71,1.89,Surgery,19718,No,93.59,3744,3.56,34624,0.55,42.95
Argentina,2007,HIV/AIDS,Autoimmune,5.84,1.77,1.57,0-18,Other,520996,61.48,2.53,0.86,Therapy,34089,Yes,51.36,394,1.15,4352,0.76,28.49
Nigeria,2019,Cancer,Autoimmune,15.2,9.53,1.31,19-35,Male,872552,89.39,2.95,4.44,Surgery,35223,Yes,62.1,4740,4.36,9763,0.43,78.97
Germany,2009,Hypertension,Autoimmune,2.22,4.49,8.07,61+,Female,2536,75.89,1.03,7.93,Surgery,17799,No,58.15,4445,7.37,5296,0.83,33.78
Australia,2012,Polio,Bacterial,15.41,9.19,6.34,19-35,Other,192047,98.82,4.34,5.87,Surgery,16457,No,51.19,3036,8.32,67397,0.76,33.32
USA,2007,Tuberculosis,Metabolic,11.05,10.06,2.24,0-18,Other,952140,96.37,4.62,8.51,Medication,16374,Yes,72.06,2054,8.07,73241,0.8,88.29
Japan,2022,Polio,Respiratory,16.99,13.54,0.6,36-60,Female,816153,57.36,3.25,3.43,Surgery,18863,Yes,76.21,827,9.6,62497,0.51,36.41
South Africa,2019,Rabies,Neurological,11.15,2.05,9.88,0-18,Female,382950,87.83,0.59,9.32,Therapy,10888,No,57.01,2919,7.42,29762,0.64,84.6
Nigeria,2006,Hypertension,Genetic,1.61,6.09,4.67,19-35,Female,17966,71.46,3.26,5.13,Vaccination,39199,No,93.93,2021,9.76,58265,0.68,63.18
Nigeria,2015,Cholera,Autoimmune,7.48,11.57,8.93,36-60,Male,979254,66.44,1.74,7.99,Medication,7382,No,92.08,4400,5.94,10136,0.87,40.04
India,2013,Polio,Neurological,17.76,5.46,6.74,61+,Other,148338,83.98,4.72,2.47,Medication,37449,No,75.38,4565,7.65,12972,0.74,85.88
South Korea,2000,HIV/AIDS,Bacterial,4.98,3.28,6.22,19-35,Female,279990,57.92,4.87,8.93,Surgery,23684,No,65.84,2397,0.57,45756,0.67,33.66
Brazil,2005,Alzheimer's Disease,Chronic,17.15,1.22,8.25,36-60,Male,590314,76.5,4.37,4.12,Surgery,10789,Yes,83.9,2260,8.9,58654,0.62,75.74
France,2005,Hepatitis,Metabolic,3.71,2.46,9.28,36-60,Other,981018,99.89,1.62,9.18,Medication,3596,No,97.63,2571,6.43,34354,0.62,82.65
Indonesia,2003,Zika,Parasitic,6.59,13.44,9.0,0-18,Other,758837,64.34,3.54,4.94,Medication,23810,No,84.67,1343,2.49,29766,0.82,85.06
Australia,2020,Hepatitis,Parasitic,8.09,12.61,6.21,36-60,Female,781149,91.88,2.36,0.7,Therapy,42047,Yes,76.87,4010,8.45,43770,0.81,50.05
Turkey,2014,Cholera,Chronic,2.92,4.92,3.22,19-35,Male,843934,83.26,4.96,4.33,Surgery,31119,No,76.46,3455,3.52,38673,0.85,29.77
USA,2007,Tuberculosis,Viral,19.55,2.68,2.26,61+,Female,227976,65.74,4.47,7.06,Surgery,14546,No,91.2,1167,9.08,68415,0.79,35.73
Italy,2022,Alzheimer's Disease,Metabolic,4.9,0.63,9.08,36-60,Other,278236,98.3,4.71,9.22,Medication,37326,Yes,83.04,1879,7.24,66391,0.51,23.3
India,2014,Measles,Neurological,6.81,14.68,7.89,19-35,Female,676247,59.96,3.34,0.79,Therapy,32376,Yes,91.93,2858,8.8,94470,0.62,27.7
Brazil,2024,Zika,Cardiovascular,6.51,13.44,1.17,0-18,Male,965567,62.35,0.82,9.87,Surgery,36815,Yes,55.68,4015,5.9,91368,0.81,61.44
UK,2016,Zika,Bacterial,1.92,8.64,4.51,36-60,Female,568071,67.2,1.12,2.04,Medication,21338,No,78.93,3194,4.98,37224,0.78,49.92
Brazil,2020,Malaria,Metabolic,7.43,3.17,9.25,19-35,Female,614152,72.96,1.75,0.95,Therapy,40034,No,64.48,1685,5.87,57083,0.85,23.85
South Africa,2004,Cholera,Genetic,8.99,12.51,4.76,36-60,Male,172333,87.24,4.99,8.69,Vaccination,34867,No,58.93,299,8.92,50530,0.81,82.1
Indonesia,2018,Rabies,Genetic,7.74,8.11,5.78,0-18,Other,550253,91.46,1.31,8.36,Vaccination,28165,No,85.08,1547,2.65,66362,0.65,80.4
Indonesia,2014,HIV/AIDS,Cardiovascular,17.06,7.34,4.27,19-35,Other,246707,59.41,2.98,9.36,Therapy,2686,No,88.9,1120,9.08,95456,0.45,82.71
USA,2004,Dengue,Bacterial,5.71,13.98,4.97,19-35,Male,159625,76.38,1.93,4.43,Medication,24019,No,86.15,3931,9.53,2603,0.45,56.65
Mexico,2002,Tuberculosis,Viral,15.15,1.79,1.23,0-18,Other,957258,85.1,1.37,0.93,Surgery,36950,No,76.12,2922,0.45,30329,0.6,36.15
Turkey,2018,Zika,Respiratory,12.15,2.23,8.47,61+,Other,322192,75.11,2.51,0.77,Surgery,30314,No,86.51,3179,6.19,18571,0.53,23.73
Japan,2007,Asthma,Infectious,5.84,8.42,8.46,0-18,Female,497604,86.33,4.64,1.54,Medication,12354,No,88.67,4478,8.44,56891,0.73,37.72
UK,2016,Leprosy,Metabolic,14.57,1.27,2.01,19-35,Other,123560,66.05,3.37,8.79,Therapy,1862,Yes,68.64,3823,3.47,21684,0.71,64.12
Australia,2016,HIV/AIDS,Parasitic,4.55,7.8,3.84,0-18,Male,293515,95.21,1.44,1.61,Medication,12872,No,68.79,2463,9.88,65620,0.82,66.15
China,2024,Polio,Autoimmune,2.38,6.84,5.25,19-35,Other,466681,82.04,1.47,8.69,Vaccination,6615,No,62.75,59,0.71,93827,0.83,21.07
India,2001,Diabetes,Autoimmune,11.14,3.96,4.85,61+,Other,60169,84.79,4.18,0.94,Surgery,44387,No,76.12,4411,7.11,72339,0.71,85.21
Brazil,2001,Influenza,Cardiovascular,14.47,6.44,8.26,61+,Female,517143,71.55,1.8,7.06,Vaccination,48775,No,79.99,1203,4.24,49584,0.66,68.2
Saudi Arabia,2014,Measles,Metabolic,13.77,5.39,0.7,19-35,Other,61785,92.01,4.44,1.03,Surgery,46775,Yes,86.97,1424,8.9,69393,0.54,80.44
Nigeria,2000,HIV/AIDS,Neurological,18.05,14.46,4.57,61+,Male,542923,94.68,4.42,6.15,Medication,9195,Yes,84.03,3508,8.33,22993,0.81,52.85
South Africa,2009,Ebola,Chronic,10.6,6.5,2.92,36-60,Female,938028,92.42,3.64,1.26,Surgery,10855,No,91.57,3049,8.1,31822,0.51,84.48
Brazil,2012,COVID-19,Parasitic,1.42,13.22,6.59,19-35,Male,376600,96.73,0.82,8.35,Surgery,8751,Yes,93.11,2031,6.27,35675,0.86,63.43
Japan,2022,Parkinson's Disease,Infectious,8.92,14.88,0.89,0-18,Female,457946,87.84,0.87,4.78,Vaccination,29267,Yes,79.92,1866,5.31,69478,0.85,47.91
Russia,2000,Malaria,Parasitic,13.97,3.09,4.91,0-18,Male,364946,76.6,4.05,6.99,Surgery,28258,No,70.51,1705,0.36,78503,0.59,62.12
Japan,2011,HIV/AIDS,Parasitic,6.25,1.22,0.17,36-60,Female,271970,52.74,4.26,7.02,Surgery,33399,Yes,88.78,1029,8.25,2348,0.4,32.4
Brazil,2016,Rabies,Neurological,0.9,3.83,6.04,36-60,Male,705193,75.79,3.88,3.42,Therapy,21042,No,58.14,3815,0.83,88702,0.74,44.26
France,2004,Hepatitis,Neurological,18.74,12.43,8.59,36-60,Other,69627,76.93,4.39,8.58,Therapy,20707,Yes,82.23,4809,7.28,21270,0.7,71.08
Australia,2022,Parkinson's Disease,Chronic,16.07,7.04,6.79,0-18,Male,278889,78.21,4.5,2.11,Vaccination,22664,No,50.74,2454,2.53,99752,0.53,69.16
France,2021,Tuberculosis,Chronic,12.57,10.12,7.45,61+,Female,920650,98.0,1.84,8.71,Medication,9153,Yes,70.13,2035,6.95,96598,0.55,47.04
India,2012,Diabetes,Respiratory,7.69,12.1,6.81,19-35,Female,554485,51.52,1.48,3.18,Medication,48653,No,73.37,2179,8.66,41393,0.78,46.2
France,2008,Measles,Parasitic,4.97,13.85,6.89,19-35,Female,137152,74.81,0.75,9.2,Surgery,46844,No,65.29,3745,8.56,90600,0.43,64.03
Mexico,2023,Tuberculosis,Cardiovascular,6.47,7.67,1.65,36-60,Male,993804,86.63,1.92,4.42,Surgery,7274,No,87.1,3565,7.74,42834,0.4,31.32
Brazil,2002,Leprosy,Respiratory,9.56,10.08,2.63,19-35,Other,510824,81.05,1.48,9.94,Therapy,34258,No,64.26,2327,7.58,47460,0.85,23.77
France,2003,Leprosy,Chronic,1.22,3.8,4.7,61+,Other,144220,51.76,0.98,0.97,Therapy,29644,Yes,54.12,4253,5.72,17006,0.41,84.51
Saudi Arabia,2012,Alzheimer's Disease,Metabolic,0.22,3.85,2.57,61+,Female,798325,75.61,2.92,2.48,Medication,9258,Yes,51.12,834,5.68,55091,0.74,70.08
Canada,2004,Measles,Bacterial,1.3,12.16,7.76,36-60,Male,372287,61.04,0.64,9.22,Surgery,5967,Yes,85.34,1722,2.72,33193,0.57,89.45
Argentina,2009,Hypertension,Cardiovascular,14.07,4.13,5.09,0-18,Male,471344,88.92,1.53,6.73,Vaccination,34775,No,83.36,1207,5.88,87740,0.77,28.64
Russia,2023,COVID-19,Bacterial,18.91,12.69,8.17,61+,Male,687261,56.89,2.13,8.18,Vaccination,16314,No,96.17,2398,1.86,89970,0.43,65.12
Indonesia,2009,Zika,Infectious,1.95,0.15,0.43,36-60,Male,975774,82.13,2.06,8.78,Vaccination,49079,No,94.32,3963,8.57,18222,0.66,47.35
South Africa,2024,Influenza,Respiratory,13.8,9.94,6.32,36-60,Other,651178,50.26,3.38,4.19,Therapy,1029,Yes,65.85,2804,9.04,96822,0.59,66.03
UK,2017,COVID-19,Metabolic,15.64,5.51,4.1,36-60,Other,176710,75.8,0.97,2.35,Medication,9540,Yes,53.2,2549,3.09,51343,0.78,31.94
Australia,2021,HIV/AIDS,Parasitic,7.52,6.62,5.62,0-18,Other,728821,57.56,3.05,7.12,Surgery,23659,No,53.98,865,8.3,40885,0.43,81.97
India,2024,Cancer,Metabolic,12.59,2.4,2.08,0-18,Other,630715,75.58,3.0,9.09,Medication,16305,No,89.32,4701,1.9,68975,0.73,49.83
Italy,2010,Hypertension,Autoimmune,4.94,14.57,1.93,0-18,Female,378368,74.95,2.0,3.43,Vaccination,9321,No,55.08,950,9.28,58770,0.69,31.9
Germany,2000,Parkinson's Disease,Respiratory,1.72,3.54,1.05,0-18,Female,269784,70.41,0.85,3.91,Medication,27633,Yes,95.61,785,5.68,66853,0.61,48.28
Indonesia,2003,COVID-19,Bacterial,11.32,7.23,8.61,19-35,Female,39495,51.36,2.81,2.57,Therapy,8245,Yes,91.64,3286,5.33,73466,0.79,48.68
Saudi Arabia,2002,Malaria,Metabolic,10.21,3.68,7.19,19-35,Female,555201,79.52,2.16,3.1,Surgery,28337,Yes,95.86,1036,6.4,34233,0.63,58.81
